"year","age","sex","group","chronic_liver_disease","poisonings","suicides","vehicle_transport","alcohol_induced","assault_homicide","drug_induced","legal_intervention","motor_accidents","all_cause","population"
1999,31,"Male","Black Non-Hispanic",3,34,31,71,5,145,40,2,69,633,240076
1999,31,"Male","Hispanic",9,41,42,76,14,70,40,5,69,405,320811
1999,31,"Male","White Non-Hispanic",18,143,341,295,17,81,184,5,264,1679,1.30671e+006
1999,32,"Female","Black Non-Hispanic",2,15,6,20,3,31,18,0,17,388,272561
1999,32,"Female","Hispanic",2,7,6,21,2,12,8,0,18,154,268347
1999,32,"Female","White Non-Hispanic",14,58,73,126,25,47,85,0,115,879,1.34015e+006
1999,32,"Male","Black Non-Hispanic",5,37,39,73,6,134,46,5,65,694,243122
1999,32,"Male","Hispanic",8,51,26,78,12,46,67,3,73,439,323367
1999,32,"Male","White Non-Hispanic",29,158,327,335,39,68,202,7,311,1840,1.35483e+006
1999,33,"Female","Black Non-Hispanic",5,11,7,27,7,34,16,0,26,451,279654
1999,33,"Female","Hispanic",6,8,5,14,5,8,10,0,14,157,272468
1999,33,"Female","White Non-Hispanic",19,68,87,135,25,41,96,0,128,968,1.36728e+006
1999,33,"Male","Black Non-Hispanic",8,37,40,78,7,134,41,6,75,767,248829
1999,33,"Male","Hispanic",15,35,37,74,22,44,42,1,68,438,312221
1999,33,"Male","White Non-Hispanic",40,168,359,320,48,93,192,7,290,2007,1.37507e+006
1999,34,"Female","Black Non-Hispanic",3,27,6,25,5,27,32,1,25,447,296727
1999,34,"Female","Hispanic",2,9,4,22,3,8,11,0,21,157,276533
1999,34,"Female","White Non-Hispanic",22,68,110,176,33,47,109,0,160,1179,1.48073e+006
1999,34,"Male","Black Non-Hispanic",4,42,51,76,11,126,49,1,68,858,264395
1999,34,"Male","Hispanic",17,60,37,68,25,54,71,1,65,461,312060
1999,34,"Male","White Non-Hispanic",27,215,385,378,61,82,273,6,335,2298,1.4953e+006
1999,35,"Female","Black Non-Hispanic",7,22,4,31,14,38,27,0,30,548,309142
1999,35,"Female","Hispanic",9,13,5,13,7,11,18,0,10,178,282093
1999,35,"Female","White Non-Hispanic",37,80,121,140,42,40,124,0,129,1291,1.57883e+006
1999,35,"Male","Black Non-Hispanic",12,43,51,78,21,130,53,3,69,881,275893
1999,35,"Male","Hispanic",23,54,47,59,26,47,63,1,55,503,312547
1999,35,"Male","White Non-Hispanic",56,228,416,372,91,87,263,6,329,2624,1.60149e+006
1999,36,"Female","Black Non-Hispanic",8,24,6,38,11,45,31,0,38,617,300226
1999,36,"Female","Hispanic",5,7,6,16,5,12,11,0,16,188,268544
