country,year,age,sex,death_count,population_count,death_rate,cohort_size,cumulative_deaths
uk,2001,43,male,828,401523,0.00206214837008092,48142.7073960729,1857.29260392708
uk,2001,44,male,840,388998.5,0.00215939136012093,48043.4299904848,1956.57000951517
uk,2001,45,male,954,377240,0.00252889407273884,47939.6854228528,2060.3145771472
uk,2001,46,male,1073,373222,0.00287496449834147,47818.451036538,2181.54896346201
uk,2001,47,male,1184,372389.5,0.00317946666057985,47680.9746874423,2319.02531255774
uk,2001,48,male,1245,367743,0.00338551651561009,47529.3746180796,2470.62538192041
uk,2001,49,male,1409,367125.5,0.00383792463340193,47368.4631353335,2631.53686466654
uk,2001,50,male,1460,373230.5,0.00391179177478797,47186.66654382,2813.33345618002
uk,2001,51,male,1658,384681,0.00431006470296167,47002.0821297542,2997.9178702458
uk,2001,52,male,1880,404689,0.00464554262656015,46799.500114601,3200.49988539896
uk,2001,53,male,2139,431148,0.0049611734253667,46582.091041917,3417.90895808305
uk,2001,54,male,2512,400638,0.0062699993510351,46350.9892097418,3649.01079025822
uk,2001,55,male,2267,355310.5,0.00638033494647639,46060.3685374769,3939.63146252313
uk,2001,56,male,2489,348243.5,0.00714729779593876,45766.4879584496,4233.51204155038
uk,2001,57,male,2735,337722.5,0.00809836478173648,45439.3812399363,4560.61876006366
uk,2001,58,male,2931,313996.5,0.00933449895142143,45071.3965551989,4928.60344480106
uk,2001,59,male,2903,288032.5,0.0100787237551318,44650.6776513153,5349.32234868467
uk,2001,60,male,3011,283830,0.0106084628122468,44200.6558057883,5799.34419421171
uk,2001,61,male,3449,289155,0.0119278587608722,43731.7547923957,6268.24520760434
uk,2001,62,male,3831,287623.5,0.0133194957991958,43210.1285978669,6789.87140213313
uk,2001,63,male,4098,282054.5,0.0145291069633706,42634.5914715249,7365.40852847513
uk,2001,64,male,4291,273127.5,0.0157106113445186,42015.1489316955,7984.85106830452
uk,2001,65,male,4654,264096.5,0.0176223463771765,41355.0652562476,8644.93474375245
uk,2001,66,male,4990,253331,0.0196975498458538,40626.2919718512,9373.70802814878
uk,2001,67,male,5342,244701.5,0.0218306794196194,39826.0535606835,10173.9464393165
uk,2001,68,male,5602,241514.5,0.0231952946924512,38956.6237528516,11043.3762471484
uk,2001,69,male,6327,238717,0.0265041869661566,38053.0133846813,11946.9866153187
uk,2001,70,male,6938,231577,0.0299597973892053,37044.449203308,12955.550796692
uk,2001,71,male,7371,221163.5,0.0333282842783732,35934.6050107822,14065.3949892178
uk,2001,72,male,7819,209999,0.0372335106357649,34736.9662795518,15263.0337204482
uk,2001,73,male,8236,201336.5,0.0409066413690513,33443.5870761279,16556.4129238721
uk,2001,74,male,8831,194449,0.0454155074081122,32075.5222535101,17924.4777464899
uk,2001,75,male,9482,184079.5,0.0515103528638442,30618.7961349867,19381.2038650133
uk,2001,76,male,9691,172562.5,0.0561593625498008,29041.6111418075,20958.3888581925
uk,2001,77,male,10103,161844.5,0.0624241169764805,27410.6527726644,22589.3472273356
uk,2001,78,male,10375,154311.5,0.0672341335545309,25699.5669775819,24300.4330224181
uk,2001,79,male,11107,149245,0.0744212536433381,23971.6788591175,26028.3211408825
uk,2001,80,male,11673,148051.21,0.0788443404143742,22187.6764664865,27812.3235335135
uk,2001,81,male,11450,99957.08,0.114549164501404,20438.3037501588,29561.6962498412
uk,2001,82,male,8122,76327.81,0.106409446307971,18097.1131317522,31902.8868682478
uk,2001,83,male,7726,68656.58,0.112531093159607,16171.4093436298,33828.5906563702
uk,2001,84,male,8087,68530.61,0.118005661995421,14351.6229722596,35648.3770277404
uk,2001,85,male,8490,60719.63,0.139822986404891,12658.0502027094,37341.9497972906
uk,2001,86,male,8132,54145.5,0.150187919587039,10888.1638213036,39111.8361786964
uk,2001,87,male,7435,44773.28,0.166058863679409,9252.89314885913,40747.1068511409
uk,2001,88,male,6831,36228.13,0.188555136574811,7716.36822681259,42283.6317731874
uk,2001,89,male,5896,28560.94,0.206435782575784,6261.40736194441,43738.5926380556
uk,2001,90,male,5018,22056,0.227511788175553,4968.82883315565,45031.1711668444
uk,2001,91,male,4120,16865.42,0.244286830686695,3838.36170018616,46161.6382998138
uk,2001,92,male,3495,12626.74,0.276793534990029,2900.70048541849,47099.2995145815
uk,2001,93,male,2675,8823.48,0.303168364409507,2097.80534411221,47902.1946558878
uk,2001,94,male,2017,6126.35,0.329233556685465,1461.81712908819,48538.1828709118
uk,2001,95,male,1434,4016.39,0.357037040725627,980.537876454748,49019.4621235453
uk,2001,96,male,994,2633.62,0.377427267411396,630.449534725955,49369.550465274
uk,2001,97,male,749,1646.62,0.454871190681517,392.500689593552,49607.4993104064
uk,2001,98,male,446,969.24,0.460154347736371,213.963433574816,49786.0365664252
uk,2001,99,male,283,584.9,0.483843392032826,115.507229358762,49884.4927706412
uk,2001,100,male,167,340.48,0.490484022556391,59.6198197015051,49940.3801802985
uk,2001,101,male,99,169.16,0.585244738708915,30.3772507102241,49969.6227492898
uk,2001,102,male,42,77.14,0.544464609800363,12.5991245556238,49987.4008754444
uk,2001,103,male,25,47.23,0.52932458183358,5.73934712061992,49994.2606528794
uk,2001,104,male,19,26.9,0.70631970260223,2.70136960600002,49997.298630394
uk,2001,105,male,9,10.42,0.863723608445297,0.793339029271381,49999.2066609707
uk,2001,106,male,3,4.85,0.618556701030928,0.108113380188614,49999.8918866198
uk,2001,107,male,3,2.91,1.03092783505155,0.0412391244018426,49999.9587608756
uk,2001,108,male,0,1.43,0,-0.00127543683717039,50000.0012754368
uk,2001,109,male,1,0.44,2.27272727272727,-0.00127543683717039,50000.0012754368
uk,2001,110,male,0,0,NaN,0.00162328324730776,49999.9983767168
uk,2002,0,female,1465,323712.5,0.00452562072826968,50000,0
uk,2002,1,female,117,328280,0.000356403070549531,49773.7189635865,226.281036413486
uk,2002,2,female,63.01,336629,0.000187179357690514,49755.9794573152,244.020542684775
uk,2002,3,female,42,344858.5,0.000121789081608834,49746.6661650391,253.33383496086
uk,2002,4,female,54,352572.5,0.000153159988371186,49740.6075642538,259.392435746202
uk,2002,5,female,39,355439,0.000109723468724591,49732.9892933777,267.010706622321
uk,2002,6,female,43,354474,0.000121306499207276,49727.5324172824,272.467582717632
uk,2002,7,female,34,359801.5,9.44965487914864e-05,49721.5001444106,278.499855589391
uk,2002,8,female,34,367287,9.25706600015791e-05,49716.8016342462,283.198365753771
uk,2002,9,female,30,375634.5,7.98648686422573e-05,49712.1993171058,287.800682894223
uk,2002,10,female,47,384428.5,0.0001222594058453,49708.2290588374,291.770941162606
uk,2002,11,female,28,383654,7.29824268742148e-05,49702.151760287,297.848239712963
uk,2002,12,female,41,378163.5,0.000108418713069876,49698.5243766307,301.475623369304
uk,2002,13,female,40,378940,0.000105557608064601,49693.1361265763,306.863873423688
uk,2002,14,female,58,377430.5,0.000153670675793292,49687.8906379896,312.109362010437
uk,2002,15,female,52,371013.5,0.000140156625028469,49680.2550662565,319.744933743517
uk,2002,16,female,87,369151.5,0.000235675596604646,49673.2920493758,326.707950624157
uk,2002,17,female,107,363251,0.000294562162251446,49661.5852666368,338.414733363214
uk,2002,18,female,94,354076.5,0.000265479352625774,49646.9568426998,353.043157300192
uk,2002,19,female,109,353941,0.000307960931341664,49633.7766007374,366.223399262628
uk,2002,20,female,104,364321.5,0.000285462153619811,49618.4913366694,381.508663330598
uk,2002,21,female,105,373577,0.000281066553883135,49604.3271352731,395.672864726926
uk,2002,22,female,102,369336,0.000276171291182013,49590.3850179875,409.614982012528
uk,2002,23,female,100,355488,0.000281303447655054,49576.6895773268,423.310422673159
uk,2002,24,female,110,348204.5,0.000315906313674866,49562.7434836254,437.256516374589
uk,2002,25,female,124,353503,0.000350774958062591,49547.0863000359,452.913699964112
uk,2002,26,female,118,366707.5,0.000321782346965906,49529.7064229169,470.293577083132
uk,2002,27,female,131,381100.5,0.000343741349066716,49513.7686377396,486.231362260427
uk,2002,28,female,135,400563.5,0.000337025215727344,49496.7487081107,503.251291889341
uk,2002,29,female,154,425067.5,0.00036229540014233,49480.0670556995,519.93294430049
uk,2002,30,female,179,444265.5,0.000402912222533598,49462.1406550065,537.859344993507
uk,2002,31,female,237,449451.5,0.00052730939823318,49442.2117539839,557.788246016084
uk,2002,32,female,219,454067.5,0.000482307145963981,49416.1404110566,583.859588943393
uk,2002,33,female,262,463072.5,0.000565786135000459,49392.3066534104,607.693346589607
uk,2002,34,female,290,470015.5,0.000617000928692777,49364.3611711302,635.6388288698
uk,2002,35,female,292,475531.5,0.000614049752750344,49333.9033144433,666.096685556709
uk,2002,36,female,310,478367,0.000648038012655555,49303.6098433108,696.390156689151
uk,2002,37,female,349.01,478325.5,0.000729649579627262,49271.6592299712,728.340770028757
uk,2002,38,female,414,472753,0.000875721571306792,49235.7081845266,764.291815473443
uk,2002,39,female,442,462856,0.000954940629483036,49192.5914127908,807.408587209196
uk,2002,40,female,428,451227.5,0.000948523749106604,49145.6154085812,854.384591418828
uk,2002,41,female,454,436597,0.0010398605579058,49098.9996252017,901.000374798328
uk,2002,42,female,514,423989,0.00121229560200854,49047.9435120588,952.056487941212
uk,2002,43,female,573,417017,0.00137404470321354,48988.4829058516,1011.51709414845
