country,year,age,sex,death_count,population_count,death_rate,cohort_size,cumulative_deaths
ruk,1950,29,female,542.4,374775.05,0.00144726816793167,47541.2137629525,2458.78623704753
ruk,1950,30,female,608.98,338578.07,0.00179863982330574,47472.4088776085,2527.59112239148
ruk,1950,31,female,439.03,293048.96,0.00149814556584674,47387.023112493,2612.976887507
ruk,1950,32,female,450.85,285938.4,0.00157673820655078,47316.0304539383,2683.96954606166
ruk,1950,33,female,452.41,308990.63,0.00146415443083177,47241.4254609393,2758.5745390607
ruk,1950,34,female,522.74,333228.6,0.00156871288958991,47172.2567185318,2827.74328146815
ruk,1950,35,female,659.62,350141.98,0.00188386436839136,47098.2569913864,2901.74300861356
ruk,1950,36,female,692.32,355831.8,0.00194563836059621,47009.530263227,2990.46973677297
ruk,1950,37,female,663.6,355654.32,0.00186585671165192,46918.0667178333,3081.93328216671
ruk,1950,38,female,735.49,354334.51,0.00207569395371622,46830.5243281501,3169.47567184992
ruk,1950,39,female,768.99,354870.26,0.00216696096201468,46733.3184919528,3266.68150804722
ruk,1950,40,female,818.25,356065.22,0.00229803405117748,46632.0492151553,3367.95078484468
ruk,1950,41,female,890.94,356243.1,0.0025009326496429,46524.8871781827,3475.11282181729
ruk,1950,42,female,961.22,351903.23,0.00273148956319611,46408.5315688178,3591.46843118216
ruk,1950,43,female,983.08,345810.23,0.00284283087865851,46281.7671491944,3718.23285080565
ruk,1950,44,female,1056.53,340662.64,0.00310139673666593,46150.1959124237,3849.80408757626
ruk,1950,45,female,1230.5,336230.09,0.00365969625145685,46007.0658454245,3992.93415457555
ruk,1950,46,female,1262.75,331448.2,0.00380979591984509,45838.6939590094,4161.30604099057
ruk,1950,47,female,1427.2,327294.26,0.00436060198550381,45664.0578897934,4335.94211020663
ruk,1950,48,female,1499.86,325601.87,0.00460642317564085,45464.935108293,4535.06489170703
ruk,1950,49,female,1709.73,323894.26,0.00527866717983826,45255.5043775311,4744.49562246888
ruk,1950,50,female,1803.67,314896.82,0.0057278126848026,45016.6156318664,4983.38436813358
ruk,1950,51,female,1642.14,306420.55,0.005359105321102,44758.7688898233,5241.23111017667
ruk,1950,52,female,1974.01,300665.91,0.00656545998181171,44518.9019332999,5481.09806670009
ruk,1950,53,female,2061.27,295314.74,0.00697990896085986,44226.6148642226,5773.38513577737
ruk,1950,54,female,2270.93,287670.49,0.00789420562394147,43917.9171188233,6082.08288117666
ruk,1950,55,female,2205.49,280415.96,0.00786506588284062,43571.2200505121,6428.77994948786
ruk,1950,56,female,2462.89,275142.48,0.00895132587305312,43228.5295342191,6771.47046578089
ruk,1950,57,female,2676.66,272069.4,0.00983815158926362,42841.5768793454,7158.42312065459
ruk,1950,58,female,2807.77,266672.51,0.0105289067853301,42420.0949516833,7579.90504831668
ruk,1950,59,female,3152.23,257353.94,0.0122486176042224,41973.4577261122,8026.5422738878
ruk,1950,60,female,3278.12,250413.8,0.0130908120878322,41459.340892898,8540.65910710195
ruk,1950,61,female,3518.75,250889.23,0.0140251137922501,40916.6044519837,9083.39554801625
ruk,1950,62,female,3897.2,245872.77,0.0158504742107066,40342.7444185522,9657.25558144781
ruk,1950,63,female,4258.47,236762.65,0.0179862406507107,39703.2927885568,10296.7072114432
ruk,1950,64,female,4412.54,228783.45,0.0192869720252929,38989.1798098362,11010.8201901638
ruk,1950,65,female,4816.13,220176.95,0.0218739064193595,38237.1965895548,11762.8034104452
ruk,1950,66,female,4854.05,214831.38,0.0225946972923602,37400.7997296162,12599.2002703838
ruk,1950,67,female,5567,212763.59,0.0261651911400818,36555.7399812333,13444.2600187667
ruk,1950,68,female,5959.96,207385.68,0.0287385319950731,35599.2520573572,14400.7479426428
ruk,1950,69,female,6582.95,195246.13,0.0337161612371011,34576.1818131062,15423.8181868938
